pack_code,pack_name,type_code,type_name,faction_code,faction_name,position,exceptional,myriad,code,name,real_name,subname,text,real_text,quantity,skill_willpower,skill_intellect,skill_combat,skill_agility,health,health_per_investigator,sanity,deck_limit,real_slot,traits,real_traits,deck_requirements,deck_options,flavor,illustrator,is_unique,permanent,double_sided,back_text,back_flavor,octgn_id,url,imagesrc,backimagesrc,duplicated_by,alternated_by,cost,xp,slot,subtype_code,subtype_name,errata_date,skill_wild,restrictions,tags,victory,enemy_damage,enemy_fight,enemy_evade,hidden,exile,linked_to_code,linked_to_name,linked_card,enemy_horror,faction2_code,faction2_name,bonded_cards,bonded_to,bonded_count,shroud,clues,alternate_of_code,alternate_of_name,duplicate_of_code,duplicate_of_name,faction3_code,faction3_name,customization_text,customization_change,customization_options
core,Core Set,investigator,Investigator,guardian,Guardian,1,False,False,01001,Roland Banks,Roland Banks,The Fed,"[reaction] After you defeat an enemy: Discover 1 clue at your location. (Limit once per round.)
[elder_sign] effect: +1 for each clue on your location.","[reaction] After you defeat an enemy: Discover 1 clue at your location. (Limit once per round.)
[elder_sign] effect: +1 for each clue on your location.",1,3.0,3.0,4.0,2.0,9.0,False,5.0,1.0,,Agency. Detective.,Agency. Detective.,"{'size': 30, 'card': {'01006': {'01006': '01006', '98005': '98005', '90030': '90030'}, '01007': {'01007': '01007', '98006': '98006', '90031': '90031'}}, 'random': [{'target': 'subtype', 'value': 'basicweakness'}]}","[{'faction': ['guardian', 'neutral'], 'level': {'min': 0, 'max': 5}}, {'faction': ['seeker'], 'level': {'min': 0, 'max': 2}}]","Everything by the book: every ""i"" dotted, every ""t"" crossed. It has worked, until now.",Magali Villeneuve,True,False,True,"<b>Deck Size</b>: 30.
<b>Deckbuilding Options</b>: Guardian cards ([guardian]) level 0-5, Seeker cards ([seeker]) level 0-2, Neutral cards level 0-5.
<b>Deckbuilding Requirements</b> (do not count toward deck size): Roland's .38 Special, Cover Up, 1 random basic weakness.","Roland had always taken comfort in procedure and rules. As an agent in the Bureau, he was relieved to have guidelines to follow in any given situation. But lately, his Federal Agent's Handbook had been entirely unhelpful given the cases he'd been assigned. Try as he might, Roland could find no mention of what to do when confronted with strange creatures, gates through time and space, or magic spells. If he hadn't seen it with his own eyes, he would never have believed it... and there's no way his superiors would understand. Roland knew he would have to handle this one himself.",25f013a5-4ca2-4a34-9d03-e11e8ed93aaf:87041f6f-a325-4b5f-92b6-2df4d01790b1,https://arkhamdb.com/card/01001,/bundles/cards/01001.png,/bundles/cards/01001b.png,['01501'],"['01501', '90024']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
core,Core Set,investigator,Investigator,survivor,Survivor,5,False,False,01005,Wendy Adams,Wendy Adams,The Urchin,"[reaction] When you reveal a chaos token, choose and discard 1 card from your hand: Cancel that chaos token and return it to the bag. Reveal a new chaos token. (Limit once per test/ability.)
[elder_sign] effect: +0. If Wendy's Amulet is in play, you automatically succeed instead.","[reaction] When you reveal a chaos token, choose and discard 1 card from your hand: Cancel that chaos token and return it to the bag. Reveal a new chaos token. (Limit once per test/ability.)
[elder_sign] effect: +0. If Wendy's Amulet is in play, you automatically succeed instead.",1,4.0,3.0,1.0,4.0,7.0,False,7.0,1.0,,Drifter.,Drifter.,"{'size': 30, 'card': {'01014': {'01014': '01014', '90039': '90039'}, '01015': {'01015': '01015', '90040': '90040'}}, 'random': [{'target': 'subtype', 'value': 'basicweakness'}]}","[{'faction': ['survivor', 'neutral'], 'level': {'min': 0, 'max': 5}}, {'faction': ['rogue'], 'level': {'min': 0, 'max': 2}}]",,Jacob Murray,True,False,True,"<b>Deck Size</b>: 30.
<b>Deckbuilding Options</b>: Survivor cards ([survivor]) level 0-5, Rogue cards ([rogue]) level 0-2, Neutral cards level 0-5.
<b>Deckbuilding Requirements</b> (do not count toward deck size): Wendy's Amulet, Abandoned and Alone, 1 random basic weakness.","Mama used to let Wendy play with her necklace when she was small. Mama would tell her stories, and Wendy would spin the necklace and watch as it glittered. Then, word came that her father had been lost at sea, and Mama started acting strange, drawing unusual symbols in chalk all over the house. They took Mama to the asylum, and Wendy went to the orphanage. Before they took her away, Mama gave her the necklace, to ""protect her."" Wendy stayed in the orphanage for several years before running away, deciding that she could take better care of herself on her own.",e8b6e380-16f3-40d7-af47-484db614ea18:86358d81-3a3e-40ba-999b-903a1c0d9365,https://arkhamdb.com/card/01005,/bundles/cards/01005.png,/bundles/cards/01005b.png,['01505'],"['01505', '90037']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
core,Core Set,investigator,Investigator,rogue,Rogue,3,False,False,01003,"""Skids"" O'Toole","""Skids"" O'Toole",The Ex-Con,"[free] During your turn, spend 2 resources: You may take an additional action this turn. (Limit once per turn.)
[elder_sign] effect: +2. If you succeed, gain 2 resources.","[free] During your turn, spend 2 resources: You may take an additional action this turn. (Limit once per turn.)
[elder_sign] effect: +2. If you succeed, gain 2 resources.",1,2.0,3.0,3.0,4.0,8.0,False,6.0,1.0,,Criminal.,Criminal.,"{'size': 30, 'card': {'01010': {'01010': '01010', '90009': '90009'}, '01011': {'01011': '01011', '90010': '90010'}}, 'random': [{'target': 'subtype', 'value': 'basicweakness'}]}","[{'faction': ['rogue', 'neutral'], 'level': {'min': 0, 'max': 5}}, {'faction': ['guardian'], 'level': {'min': 0, 'max': 2}}]","""I didn't get out of the joint just to watch the world end.""",Magali Villeneuve,True,False,True,"<b>Deck Size</b>: 30.
<b>Deckbuilding Options</b>: Rogue cards ([rogue]) level 0-5, Guardian cards ([guardian]) level 0-2, Neutral cards level 0-5.
<b>Deckbuilding Requirements</b> (do not count toward deck size): On the Lam, Hospital Debts, 1 random basic weakness.","Skids hadn't planned on a life of crime. But sometimes doing the right thing means getting your hands dirty. The cops didn't care that Skids needed the money for his mother's operation. His mother died of her illness during the second year of his sentence. His cellmate, Brad Hollins, told him there were worse fates than death. He ranted and raved in a quiet voice every evening about the ""Old Ones"" and told Skids about bizarre adventures he'd had while dreaming. Skids didn't give it much thought until the night he woke to the sight of his cellmate bursting into flames. When Skids was finally released, he returned to Arkham, looking for answers.",4074eb1e-2341-4ff8-be20-d220621fa3c4:2df74e76-b199-433c-8f48-d2eaed044d56,https://arkhamdb.com/card/01003,/bundles/cards/01003.png,/bundles/cards/01003b.png,['01503'],"['01503', '90008']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
core,Core Set,asset,Asset,seeker,Seeker,33,False,False,01033,Dr. Milan Christopher,Dr. Milan Christopher,Professor of Entomology,"You get +1 [intellect].
[reaction] After you successfully investigate: Gain 1 resource.","You get +1 [intellect].
[reaction] After you successfully investigate: Gain 1 resource.",1,,1.0,,,1.0,False,2.0,2.0,Ally,Ally. Miskatonic.,Ally. Miskatonic.,,,"""While I truly believe that this nightmare is just a singular abomination, I must admit that I am exhilarated by the possibility that this is but one specimen of a new genus!""",Anthony Devine,True,False,False,,,a28e3e10-224f-4273-9847-bbac0daf2c9e,https://arkhamdb.com/card/01033,/bundles/cards/01033.png,,['01533'],,4.0,0.0,Ally,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
core,Core Set,asset,Asset,survivor,Survivor,76,False,False,01076,Stray Cat,Stray Cat,,[free] Discard Stray Cat: Automatically evade a non-[[Elite]] enemy at your location.,[free] Discard Stray Cat: Automatically evade a non-[[Elite]] enemy at your location.,1,,,,1.0,1.0,False,,2.0,Ally,Ally. Creature.,Ally. Creature.,,,He never came if you called for him. It always seemed like he had his own agenda.,Stephen Somers,False,False,False,,,aa11a439-94d5-40b2-b406-e9474339cdea,https://arkhamdb.com/card/01076,/bundles/cards/01076.png,,['01576'],,1.0,0.0,Ally,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
core,Core Set,treachery,Treachery,neutral,Neutral,96,False,False,01096,Amnesia,Amnesia,,<b>Revelation</b> - Choose and discard all but 1 card from your hand.,<b>Revelation</b> - Choose and discard all but 1 card from your hand.,2,,,,,,False,,2.0,,Madness.,Madness.,,,Wait... where am I? What was I doing?,Chris Peuler,False,False,False,,,8398d095-9e12-45dd-8242-838ed636ba1d,https://arkhamdb.com/card/01096,/bundles/cards/01096.png,,['01596'],,,,,basicweakness,Basic Weakness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
core,Core Set,asset,Asset,neutral,Neutral,14,False,False,01014,Wendy's Amulet,Wendy's Amulet,,"Wendy Adams deck only.
You may play the topmost event in your discard pile as if it were in your hand.
<b>Forced</b> - After you play an event or discard an event from play: Place it on the bottom of your deck instead of in your discard pile.","Wendy Adams deck only.
You may play the topmost event in your discard pile as if it were in your hand.
<b>Forced</b> - After you play an event or discard an event from play: Place it on the bottom of your deck instead of in your discard pile.",1,,,,,,False,,1.0,Accessory,Item. Relic.,Item. Relic.,,,,Linda Tso,True,False,False,,,29917242-d023-4235-87f2-5ff6ff67188e,https://arkhamdb.com/card/01014,/bundles/cards/01014.png,,['01514'],,2.0,,Accessory,,,"{'date': '2021-06-28 00:00:00.000000', 'timezone_type': 3, 'timezone': 'UTC'}",2.0,{'investigator': {'01005': '01005'}},,,,,,,,,,,,,,,,,,,,,,,,,,,
core,Core Set,asset,Asset,neutral,Neutral,6,False,False,01006,Roland's .38 Special,Roland's .38 Special,,"Roland Banks deck only.
Uses (4 ammo).
[action] Spend 1 ammo: <b>Fight.</b> You get +1 [combat] for this attack (if there are 1 or more clues on your location, you get +3 [combat], instead). This attack deals +1 damage.","Roland Banks deck only.
Uses (4 ammo).
[action] Spend 1 ammo: <b>Fight.</b> You get +1 [combat] for this attack (if there are 1 or more clues on your location, you get +3 [combat], instead). This attack deals +1 damage.",1,,,1.0,1.0,,False,,1.0,Hand,Item. Weapon. Firearm.,Item. Weapon. Firearm.,,,,Tiziano Baracchi,True,False,False,,,4bb7b957-a180-4421-ad42-49704e11a3a5,https://arkhamdb.com/card/01006,/bundles/cards/01006.png,,['01506'],,3.0,,Hand,,,"{'date': '2017-02-15 00:00:00.000000', 'timezone_type': 3, 'timezone': 'UTC'}",1.0,{'investigator': {'01001': '01001'}},,,,,,,,,,,,,,,,,,,,,,,,,,,
core,Core Set,event,Event,guardian,Guardian,23,False,False,01023,Dodge,Dodge,,"Fast. Play when an enemy attacks an investigator at your location.
Cancel that attack.","Fast. Play when an enemy attacks an investigator at your location.
Cancel that attack.",1,1.0,,,1.0,,False,,2.0,,Tactic.,Tactic.,,,,Dane Cozens,False,False,False,,,76624e61-e481-473e-b751-a456aeba87d7,https://arkhamdb.com/card/01023,/bundles/cards/01023.png,,"['01523', '60113']",,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
core,Core Set,event,Event,survivor,Survivor,80,False,False,01080,Lucky!,Lucky!,,"Fast. Play when you would fail a skill test.
Get +2 to your skill value for that test.","Fast. Play when you would fail a skill test.
Get +2 to your skill value for that test.",1,,,,,,False,,2.0,,Fortune.,Fortune.,,,,David Auden Nash,False,False,False,,,fdfe0b97-d37e-4f06-9925-1b7b5e5fbb1a,https://arkhamdb.com/card/01080,/bundles/cards/01080.png,,['01580'],,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
core,Core Set,event,Event,mystic,Mystic,66,False,False,01066,Blinding Light,Blinding Light,,"<b>Evade.</b> This evasion attempt uses [willpower] instead of [agility]. If you succeed, deal 1 damage to the enemy just evaded. If a [skull], [cultist], [tablet], [elder_thing], or [auto_fail] symbol is revealed during this evasion attempt, lose 1 action this turn.","<b>Evade.</b> This evasion attempt uses [willpower] instead of [agility]. If you succeed, deal 1 damage to the enemy just evaded. If a [skull], [cultist], [tablet], [elder_thing], or [auto_fail] symbol is revealed during this evasion attempt, lose 1 action this turn.",1,1.0,,,1.0,,False,,2.0,,Spell.,Spell.,,,,Stephen Somers,False,False,False,,,054593c8-b9c5-4fb7-b182-f8c1cd40281a,https://arkhamdb.com/card/01066,/bundles/cards/01066.png,,['01566'],,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
core,Core Set,asset,Asset,survivor,Survivor,77,False,False,01077,Dig Deep,Dig Deep,,"[free] Spend 1 resource: You get +1 [willpower] for this skill test.
[free] Spend 1 resource: You get +1 [agility] for this skill test.","[free] Spend 1 resource: You get +1 [willpower] for this skill test.
[free] Spend 1 resource: You get +1 [agility] for this skill test.",1,1.0,,,1.0,,False,,2.0,,Talent.,Talent.,,,,David Gaillet,False,False,False,,,eeec305a-af17-46f2-9fa2-78dffccb5999,https://arkhamdb.com/card/01077,/bundles/cards/01077.png,,['01577'],,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
core,Core Set,skill,Skill,neutral,Neutral,89,False,False,01089,Guts,Guts,,"Max 1 committed per skill test.
If this test is successful, draw 1 card.","Max 1 committed per skill test.
If this test is successful, draw 1 card.",2,2.0,,,,,False,,2.0,,Innate.,Innate.,,,Stay back! I'll handle this.,Clark Huggins,False,False,False,,,9e52cd71-986d-4cdf-9e53-13a6086fd341,https://arkhamdb.com/card/01089,/bundles/cards/01089.png,,['01589'],,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
core,Core Set,asset,Asset,neutral,Neutral,87,False,False,01087,Flashlight,Flashlight,,"Uses (3 supplies).
[action] Spend 1 supply: <b>Investigate.</b> Your location gets -2 shroud for this investigation.","Uses (3 supplies).
[action] Spend 1 supply: <b>Investigate.</b> Your location gets -2 shroud for this investigation.",4,,1.0,,,,False,,2.0,Hand,Item. Tool.,Item. Tool.,,,,Kip Ayers,False,False,False,,,2bce6c96-d9dc-44fa-8b5d-9899dd6ff151,https://arkhamdb.com/card/01087,/bundles/cards/01087.png,,['01587'],,2.0,0.0,Hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
core,Core Set,asset,Asset,seeker,Seeker,30,False,False,01030,Magnifying Glass,Magnifying Glass,,"Fast.
You get +1 [intellect] while investigating.","Fast.
You get +1 [intellect] while investigating.",1,,1.0,,,,False,,2.0,Hand,Item. Tool.,Item. Tool.,,,A lens into a world unseen can reveal things you wish it hadn't.,German Nobile,False,False,False,,,746d5cdc-a24a-48ae-8e8a-3ce69dafc0d0,https://arkhamdb.com/card/01030,/bundles/cards/01030.png,,['01530'],,1.0,0.0,Hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
core,Core Set,asset,Asset,guardian,Guardian,16,False,False,01016,.45 Automatic,.45 Automatic,,"Uses (4 ammo).
[action] Spend 1 ammo: <b>Fight.</b> You get +1 [combat] for this attack. This attack deals +1 damage.","Uses (4 ammo).
[action] Spend 1 ammo: <b>Fight.</b> You get +1 [combat] for this attack. This attack deals +1 damage.",1,,,,1.0,,False,,2.0,Hand,Item. Weapon. Firearm.,Item. Weapon. Firearm.,,,,John Pacer,False,False,False,,,65f0cf81-c907-4d8d-b05a-4f4f610056ee,https://arkhamdb.com/card/01016,/bundles/cards/01016.png,,['01516'],,4.0,0.0,Hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
