pack_code,pack_name,type_code,type_name,faction_code,faction_name,position,exceptional,myriad,code,name,real_name,subname,text,real_text,quantity,skill_willpower,skill_intellect,skill_combat,skill_agility,health,health_per_investigator,sanity,deck_limit,real_slot,traits,real_traits,deck_requirements,deck_options,flavor,illustrator,is_unique,permanent,double_sided,back_text,back_flavor,octgn_id,url,imagesrc,backimagesrc,duplicated_by,alternated_by,cost,xp,slot,subtype_code,subtype_name,errata_date,skill_wild,restrictions,tags,victory,enemy_damage,enemy_fight,enemy_evade,hidden,exile,linked_to_code,linked_to_name,linked_card,enemy_horror,faction2_code,faction2_name,bonded_cards,bonded_to,bonded_count,shroud,clues,alternate_of_code,alternate_of_name,duplicate_of_code,duplicate_of_name,faction3_code,faction3_name,customization_text,customization_change,customization_options,links_to_card_by_id
aon,All or Nothing,investigator,Investigator,rogue,Rogue,8,FALSE,FALSE,90008,"""Skids"" O'Toole","""Skids"" O'Toole",The Ex-Con,"[fast] Spend up to 3 resources: Test a base skill value of 3 against a difficulty equal to the amount of resources just spent. If you succeed, gain twice the number of spent resources. Only [agility] and [wild] skill icons may be committed to this test. (Limit once per round.)
[elder_sign] effect: +1. Choose a level 2 or less card in your discard pile. Add the chosen card to your hand.","[fast] Spend up to 3 resources: Test a base skill value of 3 against a difficulty equal to the amount of resources just spent. If you succeed, gain twice the number of spent resources. Only [agility] and [wild] skill icons may be committed to this test. (Limit once per round.)
[elder_sign] effect: +1. Choose a level 2 or less card in your discard pile. Add the chosen card to your hand.",1,2,3,3,4,8,FALSE,6,1,,Criminal.,Criminal.,"{'size': 25, 'card': {'01010': {'01010': '01010', '90009': '90009'}, '01011': {'01011': '01011', '90010': '90010'}}, 'random': [{'target': 'subtype', 'value': 'basicweakness'}]}","[{'faction': ['rogue', 'neutral'], 'level': {'min': 0, 'max': 5}}, {'trait': ['gambit', 'fortune'], 'level': {'min': 0, 'max': 3}}]",,Magali Villeneuve,TRUE,FALSE,TRUE,"<b>Deck size</b>: 25.
<b>Deckbuilding Options</b>: Rogue cards ([rogue]) level 0-5, [[Fortune]] cards level 0-3, [[Gambit]] cards level 0-3, Neutral cards level 0-5.
<b>Deckbuilding Requirements</b> (do not count toward deck size): On the Lam, Hospital Debts, 1 random basic weakness.
<b>Additional Options</b>: When you upgrade a [[Fortune]] or [[Gambit]] card, you may instead pay the full experience cost of the higher level version and leave the lower level version in your deck (it does not count towards your deck size or the number of copies of that card in your deck).","Skids hadn't planned on a life of crime. But sometimes doing the right thing means getting your hands dirty. His cellmate, Brad Hollins, would rant and rave about the ""Old Ones"". Skids didn't give it much thought until the night he woke to the sight of his cellmate bursting into flames. When Skids was finally released, he returned to Arkham, looking for answers.",254a442e-3e33-4a9f-ace2-5e192442f221,https://arkhamdb.com/card/90008,/bundles/cards/90008.png,/bundles/cards/90008b.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1003,"""Skids"" O'Toole",,,,,,,,90008
aon,All or Nothing,event,Event,neutral,Neutral,9,FALSE,FALSE,90009,On the Lam,On the Lam,,"""Skids"" O'Toole deck only. Advanced.
Fast. Play during any [fast] window.
Until the end of the round, non-[[Elite]] enemies cannot attack you. At the end of the round, you may disengage from each engaged enemy and move up to 2 locations away.","""Skids"" O'Toole deck only. Advanced.
Fast. Play during any [fast] window.
Until the end of the round, non-[[Elite]] enemies cannot attack you. At the end of the round, you may disengage from each engaged enemy and move up to 2 locations away.",1,,1,,1,,FALSE,,1,,Tactic.,Tactic.,,,,John Pacer,FALSE,FALSE,FALSE,,,48c80748-4739-45e8-89bb-71baad4dcc98,https://arkhamdb.com/card/90009,/bundles/cards/90009.png,,,,0,,,,,,2,{'investigator': {'01003': '01003'}},,,,,,,,,,,,,,,,,,,,,,,,,,,,90008
aon,All or Nothing,treachery,Treachery,neutral,Neutral,10,FALSE,FALSE,90010,Hospital Debts,Hospital Debts,,"Advanced. <b>Revelation</b> - Put Hospital Debts into play in your threat area.
[fast]: Move 1 resource from your resource pool to Hospital Debts. (Limit three times per round.)
<b>Forced</b> - When the game ends, if Hospital Debts has fewer than 9 resources on it: You earn 2 fewer experience for this scenario.","Advanced. <b>Revelation</b> - Put Hospital Debts into play in your threat area.
[fast]: Move 1 resource from your resource pool to Hospital Debts. (Limit three times per round.)
<b>Forced</b> - When the game ends, if Hospital Debts has fewer than 9 resources on it: You earn 2 fewer experience for this scenario.",1,,,,,,FALSE,,1,,Task.,Task.,,,,Adam Lane,FALSE,FALSE,FALSE,,,6f283086-2830-4893-9b63-9277b4c16815,https://arkhamdb.com/card/90010,/bundles/cards/90010.png,,,,,,,weakness,Weakness,,,{'investigator': {'01003': '01003'}},,,,,,,,,,,,,,,,,,,,,,,,,,,,90008
aof,Aura of Faith,investigator,Investigator,mystic,Mystic,81,FALSE,FALSE,90081,Father Mateo,Father Mateo,The Priest,"[fast] During your turn: Seal a [bless] token on an investigator at your location with no [bless] token sealed on them. (Limit once per round.)
[reaction] When an investigator would reveal a chaos token: Resolve the [bless] token sealed on them instead. Release that token.
[elder_sign] effect: +1. Resolve Father Mateo's [fast] ability, ignoring its limit.","[fast] During your turn: Seal a [bless] token on an investigator at your location with no [bless] token sealed on them. (Limit once per round.)
[reaction] When an investigator would reveal a chaos token: Resolve the [bless] token sealed on them instead. Release that token.
[elder_sign] effect: +1. Resolve Father Mateo's [fast] ability, ignoring its limit.",1,4,3,2,3,6,FALSE,8,1,,Believer. Warden.,Believer. Warden.,"{'size': 30, 'card': {'04013': {'04013': '04013', '90082': '90082'}, '04014': {'04014': '04014', '90083': '90083'}}, 'random': [{'target': 'subtype', 'value': 'basicweakness'}]}","[{'faction': ['mystic'], 'level': {'min': 0, 'max': 3}}, {'trait': ['blessed'], 'level': {'min': 0, 'max': 5}}, {'faction': ['neutral'], 'level': {'min': 0, 'max': 5}}, {'tag': ['se'], 'level': {'min': 0, 'max': 5}, 'limit': 5}]",,Magali Villeneuve,TRUE,FALSE,TRUE,"<b>Deck Size:</b> 30.
<b>Deckbuilding Options:</b> Mystic cards ([mystic]) level 0-3, [[Blessed]] cards level 0-5, Neutral cards level 0-5, up to 5 other cards with ""seal"" level 0-5.
<b>Deckbuilding Requirements</b> (do not count toward deck size): The Codex of Ages, Serpents of Yig, 1 random basic weakness.
","Mateo Castile's life has not been easy since he became a priest. Recent decades in Mexico have been wracked with instability and conflict. Father Mateo struggled to balance his faith with the pragmatic concerns of preaching when the law told him he must not. But this is not what has assaulted Mateo's faith at its core. The nearby murders and kidnappings were not politically motivated, as he had suspected. A gruesome and horrid cult thrives at the heart of the brewing war. How, Mateo wonders, could a kind and loving God allow what he saw that night to exist?",89989f91-5fc3-4fe8-9205-00469bfc4285,https://arkhamdb.com/card/90081,/bundles/cards/90081.jpg,/bundles/cards/90081b.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4004,Father Mateo,,,,,,,,90081
aof,Aura of Faith,asset,Asset,neutral,Neutral,82,FALSE,FALSE,90082,The Codex of Ages,The Codex of Ages,finis omnium nunc est,"Father Mateo deck only. Advanced. Seal ([elder_sign] or up to 3 [bless]).
You get +1 to each of your skills while there is a token sealed here.
[reaction] When an investigator at your location would reveal a chaos token from the chaos bag: That investigator resolves a token sealed here instead, then releases that token. (Limit once per test.)","Father Mateo deck only. Advanced. Seal ([elder_sign] or up to 3 [bless]).
You get +1 to each of your skills while there is a token sealed here.
[reaction] When an investigator at your location would reveal a chaos token from the chaos bag: That investigator resolves a token sealed here instead, then releases that token. (Limit once per test.)",1,1,1,,,,FALSE,,1,Hand,Item. Relic. Tome. Blessed.,Item. Relic. Tome. Blessed.,,,,Andreia Ugrai,TRUE,FALSE,FALSE,,,f3d29f52-cb67-4373-bdda-304f3e6087fc,https://arkhamdb.com/card/90082,/bundles/cards/90082.jpg,,,,2,,Hand,,,,1,{'investigator': {'04004': '04004'}},se.,,,,,,,,,,,,,,,,,,,,,,,,,,,90081
aof,Aura of Faith,enemy,Enemy,neutral,Neutral,83,FALSE,FALSE,90083,Serpents of Yig,Serpents of Yig,,"Advanced. <b>Prey</b> - Father Mateo only. Hunter.
<b>Revelation</b> - Search the chaos bag and all play areas for the [elder_sign] token and each [bless] token and seal them on Serpents of Yig.","Advanced. <b>Prey</b> - Father Mateo only. Hunter.
<b>Revelation</b> - Search the chaos bag and all play areas for the [elder_sign] token and each [bless] token and seal them on Serpents of Yig.",1,,,,,4,FALSE,,1,,Humanoid. Monster. Serpent.,Humanoid. Monster. Serpent.,,,,Matthew Cowdery,FALSE,FALSE,FALSE,,,9c611746-9801-4d28-b708-3bc4d9c9cd9b,https://arkhamdb.com/card/90083,/bundles/cards/90083.jpg,,,,,,,weakness,Weakness,,,{'investigator': {'04004': '04004'}},se.,,1,3,3,,,,,,1,,,,,,,,,,,,,,,,,90081
bad,Bad Blood,investigator,Investigator,mystic,Mystic,17,FALSE,FALSE,90017,Agnes Baker,Agnes Baker,The Waitress,"As an additional cost to play a [[Spell]] event, you may take 1 damage. If you do, reduce the cost to play that event by 2, and you may shuffle that event back into your deck instead of discarding it.
[elder_sign] effect: +1. You may heal 1 damage.","As an additional cost to play a [[Spell]] event, you may take 1 damage. If you do, reduce the cost to play that event by 2, and you may shuffle that event back into your deck instead of discarding it.
[elder_sign] effect: +1. You may heal 1 damage.",1,5,2,2,3,8,FALSE,6,1,,Sorcerer.,Sorcerer.,"{'size': 25, 'card': {'01012': {'01012': '01012', '90018': '90018'}, '01013': {'01013': '01013', '90019': '90019'}}, 'random': [{'target': 'subtype', 'value': 'basicweakness'}]}","[{'faction': ['mystic', 'neutral'], 'level': {'min': 0, 'max': 5}}, {'trait': ['spell', 'occult'], 'level': {'min': 0, 'max': 3}}]","""The magic is in my blood.
Coursing through my veins.
Pumping through my heart.""",Magali Villeneuve,TRUE,FALSE,TRUE,"<b>Deck size</b>: 25.
<b>Deckbuilding Options</b>: Mystic cards ([mystic]) level 0-5, [[Spell]] cards level 0-3, [[Occult]] cards level 0-3, Neutral cards level 0-5.
<b>Deckbuilding Requirements</b> (do not count toward deck size): Heirloom of Hyperborea, Dark Memory, 1 random basic weakness.
<b>Additional Options</b>: When you upgrade a [[Spell]] card, you may instead pay the full experience cost of the higher level version and leave the lower level version in your deck (it does not count towards your deck size or the number of copies of that card in your deck).","Agnes Baker may be just an unassuming waitress in this life, but in a previous life, she had been a powerful witch. It began when she found a strange artifact - a key of some kind - in a dusty collection of family belongings in her attic. When she touched it, the memories came flooding back, along with one word: ""Hyperborea.""",0ef49985-b5cf-4873-9000-ecc3a511297d,https://arkhamdb.com/card/90017,/bundles/cards/90017.png,/bundles/cards/90017b.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1004,Agnes Baker,,,,,,,,90017
bad,Bad Blood,asset,Asset,neutral,Neutral,18,FALSE,FALSE,90018,Heirloom of Hyperborea,Heirloom of Hyperborea,Artifact from Another Life,"Agnes Baker deck only. Advanced.
Only damage and/or horror from player card effects can be assigned to Heirloom of Hyperborea.
[reaction] After you play a [[Spell]] card: Draw 1 card.","Agnes Baker deck only. Advanced.
Only damage and/or horror from player card effects can be assigned to Heirloom of Hyperborea.
[reaction] After you play a [[Spell]] card: Draw 1 card.",1,1,,1,,3,FALSE,3,1,Accessory,Item. Relic.,Item. Relic.,,,,Dani Hartel,TRUE,FALSE,FALSE,,,e95b2d00-fe2e-41e6-9d82-b3223cfb3483,https://arkhamdb.com/card/90018,/bundles/cards/90018.png,,,,3,,Accessory,,,,2,{'investigator': {'01004': '01004'}},,,,,,,,,,,,,,,,,,,,,,,,,,,,90017
bad,Bad Blood,event,Event,neutral,Neutral,19,FALSE,FALSE,90019,Dark Memory,Dark Memory,,"Advanced.
Place 1 doom on the current agenda. This effect can cause the current agenda to advance.
<b>Forced</b> - If Dark Memory is in your hand at the end of your turn, reveal it and take 2 horror.","Advanced.
Place 1 doom on the current agenda. This effect can cause the current agenda to advance.
<b>Forced</b> - If Dark Memory is in your hand at the end of your turn, reveal it and take 2 horror.",1,,,,,,FALSE,,1,,Spell.,Spell.,,,,Falk,FALSE,FALSE,FALSE,,,e9accdd5-fa09-4648-a0f2-1a6599b1311f,https://arkhamdb.com/card/90019,/bundles/cards/90019.png,,,,4,,,weakness,Weakness,,,{'investigator': {'01004': '01004'}},,,,,,,,,,,,,,,,,,,,,,,,,,,,90017
bob,Blood of Baalshandor,investigator,Investigator,mystic,Mystic,16,FALSE,FALSE,98016,Dexter Drake,Dexter Drake,The Magician,"[free] During your turn, discard an asset you control: Play an asset with a different title from your hand, reducing its cost by 1. (Limit once per round.)
[elder_sign] effect: +2. You may return an asset from your play area to your hand. Then, draw 1 card.","[free] During your turn, discard an asset you control: Play an asset with a different title from your hand, reducing its cost by 1. (Limit once per round.)
[elder_sign] effect: +2. You may return an asset from your play area to your hand. Then, draw 1 card.",1,5,2,3,2,6,FALSE,8,1,,Sorcerer. Veteran.,Sorcerer. Veteran.,"{'size': 30, 'card': {'07012': {'07012': '07012', '98017': '98017'}, '07013': {'07013': '07013', '98018': '98018'}}, 'random': [{'target': 'subtype', 'value': 'basicweakness'}]}","[{'faction': ['mystic', 'neutral'], 'level': {'min': 0, 'max': 5}}, {'faction': ['rogue'], 'level': {'min': 0, 'max': 2}}]","""Do you want to see true magic?""",Shane Pierce,TRUE,FALSE,TRUE,"<b>Deck Size</b>: 30.
<b>Deckbuilding Options</b>: Mystic cards ([mystic]) level 0-5, Rogue cards ([rogue]) level 0-2, Neutral cards level 0-5.
<b>Deckbuilding Requirements</b> (do not count toward deck size): Showmanship, Occult Scraps, 1 random basic weakness.","For Dexter Drake, the magic of fairy tales and myth has been a lifelong fascination. The chance discovery of an old book page during the Great War opened Drake's eyes to the possibility that magic might truly exist. Years later, the promise of arcane tomes locked away in Miskatonic University's special collection draws the successful stage magician to the quiet town of Arkham. Lured to an auction of occult items, ""Drake the Great"" and his assistant, Molly Maxwell, find themselves targeted by the depraved servants of an otherwordly force of disease and corruption. To save Molly, Arkham, and perhaps the world from a horrific transformation, Drake needs more than his wits and quick hands. He must turn to real magic, even if it risks his mind, body, and spirit.",d47f1653-8eff-4bc1-aea6-90d7eb7fbaa9:026cb382-cca7-4043-9c14-07c9592700ec,https://arkhamdb.com/card/98016,/bundles/cards/98016.png,/bundles/cards/98016b.jpg,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,98016
